"Point Path","DTS","Unit","Detection","Value","Channel"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE V-VEL","4/10/2019 09:42:51","mm/s","Peak","1.855373","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-VEL","4/10/2019 09:43:09","mm/s","Peak","2.798090","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-ENV","4/10/2019 09:43:16","gE","Peak to Peak","0.306162","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\1M NDE H-ACC","4/10/2019 09:43:21","g","RMS","0.215201","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE V-VEL","4/10/2019 09:43:35","mm/s","Peak","2.608570","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-VEL","4/10/2019 09:44:01","mm/s","Peak","3.996399","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-ENV","4/10/2019 09:44:07","gE","Peak to Peak","0.660695","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE H-ACC","4/10/2019 09:44:13","g","RMS","0.185003","1"
"\Hierarchy\UP2 DUMAI\HSC\HSC 301-3000\301 PLP 1B\2M DE A-VEL","4/10/2019 09:44:33","mm/s","Peak","4.401990","1"
